"Digestive system"	"Embryo/Stem cells"	"Endocrine system"	"Fetal"	"Immune system"	"Muscular system"	"Neonatal"	"Nervous system"	"Others"	"Reproductive system"	"Respiratory system"	"Skin"	"Urinal system"
"Digestive system"	0.981949458483754	NA	0.000579542161692263	0.00143090760425184	0.000429447852760736	0.00341745531019979	0.00120918984280532	0.000786163522012579	0.00127551020408163	NA	0.00346534653465347	0.000292056074766355	0.000466884546121523
"Embryo/Stem cells"	NA	1	NA	0.000817661488143908	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Endocrine system"	0.00216606498194946	NA	0.956244566792234	0.000408830744071954	0.00328220858895706	0.010515247108307	0.00161225312374043	0.000786163522012579	0.00255102040816327	0.00667160859896219	0.00792079207920792	0.000292056074766355	0.00113386246915227
"Fetal"	0.00120336943441637	NA	0.000289771080846132	0.989165985282093	0.00273006134969325	0.0010515247108307	0.0278113663845224	0.000524109014675052	NA	0.0022238695329874	0.000495049504950495	NA	6.66977923030748e-05
"Immune system"	0.00288808664259928	NA	0.00405679513184584	0.00245298446443173	0.988159509202454	0.00867507886435331	0.000403063280935107	0.00262054507337526	0.0127551020408163	0.000741289844329133	0.0257425742574257	NA	0.00100046688454612
"Muscular system"	0.00168471720818291	NA	0.0156476383656911	0.000817661488143908	0.00098159509202454	0.929284963196635	NA	0.00262054507337526	0.0350765306122449	NA	0.0193069306930693	NA	0.00273460948442607
"Neonatal"	0.000240673886883273	NA	0.000579542161692263	0.0026573998364677	9.20245398773006e-05	0.000262881177707676	0.966142684401451	0.0010482180293501	NA	0.00148257968865827	0.000495049504950495	NA	0.00013339558460615
"Nervous system"	0.000962695547533093	NA	0.000869313242538395	NA	0.000184049079754601	0.00236593059936909	0.00120918984280532	0.987945492662474	0.00446428571428571	NA	0.00148514851485149	NA	6.66977923030748e-05
"Others"	0.00336943441636582	NA	0.0159374094465372	0.000408830744071954	0.00217791411042945	0.0260252365930599	NA	0.00209643605870021	0.919642857142857	NA	0.0217821782178218	0.00058411214953271	0.000733675715333822
"Reproductive system"	0.00168471720818291	NA	0.000289771080846132	0.000408830744071954	9.20245398773006e-05	0.000525762355415352	0.00161225312374043	NA	NA	0.988880652335063	0.00198019801980198	NA	0.000466884546121523
"Respiratory system"	0.002647412755716	NA	0.00405679513184584	0.00122649223221586	0.00165644171779141	0.0160357518401682	NA	0.0010482180293501	0.0229591836734694	NA	0.915346534653465	NA	0.000800373507636897
"Skin"	0.000240673886883273	NA	0.000869313242538395	NA	6.13496932515337e-05	0.00157728706624606	NA	0.000524109014675052	0.00127551020408163	NA	NA	0.998831775700935	NA
"Urinal system"	0.000962695547533093	NA	0.000579542161692263	0.000204415372035977	0.000153374233128834	0.000262881177707676	NA	NA	NA	NA	0.00198019801980198	NA	0.992396451677449
