"01_HSC"	"02_Early.Eryth"	"03_Late.Eryth"	"04_Early.Baso"	"05_CMP.LMPP"	"06_CLP.1"	"07_GMP"	"08_GMP.Neut"	"09_pDC"	"10_cDC"	"11_CD14.Mono.1"	"12_CD14.Mono.2"	"13_CD16.Mono"	"14_Unk"	"15_CLP.2"	"16_Pre.B"	"17_B"	"18_Plasma"	"19_CD8.N"	"20_CD4.N1"	"21_CD4.N2"	"22_CD4.M"	"23_CD8.EM"	"24_CD8.CM"	"25_NK"	"26_Unk"
"01_HSC"	0.886836027713626	0.00427350427350427	0	0	0.0293255131964809	0.00403225806451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02_Early.Eryth"	0.0115473441108545	0.942307692307692	0.0564516129032258	0.09375	0.00879765395894428	0	0.0031201248049922	0.00327868852459016	0	0	0	0.0015625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03_Late.Eryth"	0	0.00641025641025641	0.911290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005859375	0	0	0	0	0	0	0	0	0
"04_Early.Baso"	0	0.00427350427350427	0	0.90625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"05_CMP.LMPP"	0.046189376443418	0.00427350427350427	0	0	0.912023460410557	0.0443548387096774	0.0249609984399376	0.059016393442623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"06_CLP.1"	0	0	0	0	0.00879765395894428	0.903225806451613	0.0109204368174727	0	0	0	0	0	0	0	0.018018018018018	0.015	0	0	0	0	0	0	0	0	0	0
"07_GMP"	0	0.00213675213675214	0	0	0.00586510263929619	0	0.854914196567863	0.00983606557377049	0	0.0105263157894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"08_GMP.Neut"	0	0	0	0	0.00293255131964809	0	0.0078003120124805	0.855737704918033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"09_pDC"	0	0	0	0	0	0	0.0093603744149766	0	0.993710691823899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154320987654321	0
"10_cDC"	0	0	0	0	0	0	0.0031201248049922	0	0	0.884210526315789	0	0.003125	0	0.00709219858156028	0	0	0	0	0	0	0	0	0	0	0	0
"11_CD14.Mono.1"	0	0	0	0	0	0	0.0124804992199688	0	0	0	0.89811320754717	0.03671875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12_CD14.Mono.2"	0	0	0	0	0	0	0	0	0	0.0315789473684211	0.039622641509434	0.90234375	0	0.0141843971631206	0	0	0	0	0	0	0	0	0	0	0	0
"13_CD16.Mono"	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0.0046875	0.987341772151899	0.0141843971631206	0	0	0	0	0	0	0	0	0	0	0	0
"14_Unk"	0	0	0	0	0	0	0.0015600624024961	0	0	0	0	0	0	0.879432624113475	0	0	0	0	0	0	0	0	0	0.00151285930408472	0	0
"15_CLP.2"	0	0	0	0	0	0.00806451612903226	0	0	0	0	0	0	0	0	0.891891891891892	0	0	0	0	0	0	0	0	0	0	0
"16_Pre.B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	0	0	0	0	0	0	0	0	0	0
"17_B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.93359375	0	0	0	0	0	0	0	0	0
"18_Plasma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722222222222222	0	0	0	0	0	0	0	0
"19_CD8.N"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905908096280088	0.00280504908835905	0	0	0	0.0151285930408472	0	0
"20_CD4.N1"	0	0	0.00806451612903226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001953125	0	0.0262582056892779	0.890603085553997	0.0137741046831956	0.0292504570383912	0	0.00605143721633888	0	0
"21_CD4.N2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131291028446389	0.0392706872370266	0.951790633608815	0.0310786106032907	0	0.00453857791225416	0	0
"22_CD4.M"	0	0	0	0	0	0	0.0015600624024961	0	0	0	0	0	0	0	0	0	0	0	0.00437636761487965	0.0238429172510519	0.00550964187327824	0.853747714808044	0	0.0468986384266263	0.00154320987654321	0.0196078431372549
"23_CD8.EM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137111517367459	0.973782771535581	0.00907715582450832	0.00308641975308642	0
"24_CD8.CM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00656455142231947	0	0	0.00274223034734918	0.00374531835205993	0.835098335854766	0.00308641975308642	0.0196078431372549
"25_NK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302571860816944	0.952160493827161	0
"26_Unk"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.843137254901961
"Unassigned"	0.0554272517321016	0.0363247863247863	0.0241935483870968	0	0.032258064516129	0.0403225806451613	0.0702028081123245	0.0721311475409836	0.00628930817610063	0.0631578947368421	0.0622641509433962	0.0515625	0.0126582278481013	0.0851063829787234	0.0900900900900901	0.085	0.05859375	0.277777777777778	0.0437636761487965	0.0434782608695652	0.0289256198347107	0.0694698354661792	0.0224719101123595	0.0786686838124055	0.0385802469135802	0.117647058823529
