"01_HSC"	"02_Early.Eryth"	"03_Late.Eryth"	"04_Early.Baso"	"05_CMP.LMPP"	"06_CLP.1"	"07_GMP"	"08_GMP.Neut"	"09_pDC"	"10_cDC"	"11_CD14.Mono.1"	"12_CD14.Mono.2"	"13_CD16.Mono"	"14_Unk"	"15_CLP.2"	"16_Pre.B"	"17_B"	"18_Plasma"	"19_CD8.N"	"20_CD4.N1"	"21_CD4.N2"	"22_CD4.M"	"23_CD8.EM"	"24_CD8.CM"	"25_NK"	"26_Unk"
"01_HSC"	0.919168591224019	0.00641025641025641	NA	NA	0.0425219941348974	0.0120967741935484	0.0015600624024961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02_Early.Eryth"	0.023094688221709	0.961538461538462	0.0564516129032258	0.09375	0.0117302052785924	0.00403225806451613	0.0031201248049922	0.00983606557377049	NA	NA	NA	0.0015625	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000914076782449726	NA	NA	NA	NA
"03_Late.Eryth"	NA	0.0106837606837607	0.935483870967742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005859375	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04_Early.Baso"	NA	0.00427350427350427	NA	0.90625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"05_CMP.LMPP"	0.0577367205542725	0.0106837606837607	NA	NA	0.92375366568915	0.0443548387096774	0.0327613104524181	0.0688524590163934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"06_CLP.1"	NA	NA	NA	NA	0.0102639296187683	0.911290322580645	0.0109204368174727	NA	NA	NA	NA	NA	NA	NA	0.018018018018018	0.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"07_GMP"	NA	0.00213675213675214	NA	NA	0.00733137829912024	0.00806451612903226	0.887675507020281	0.00983606557377049	NA	0.0105263157894737	0.00754716981132075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"08_GMP.Neut"	NA	0.00427350427350427	NA	NA	0.00439882697947214	NA	0.0124804992199688	0.911475409836066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"09_pDC"	NA	NA	NA	NA	NA	NA	0.0218408736349454	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00154320987654321	NA
"10_cDC"	NA	NA	NA	NA	NA	NA	0.0031201248049922	NA	NA	0.936842105263158	0.00188679245283019	0.00703125	NA	0.00709219858156028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11_CD14.Mono.1"	NA	NA	NA	NA	NA	NA	0.0171606864274571	NA	NA	NA	0.926415094339623	0.05390625	NA	0.00709219858156028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12_CD14.Mono.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0421052631578947	0.0641509433962264	0.92890625	NA	0.0212765957446809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13_CD16.Mono"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0105263157894737	NA	0.0078125	1	0.0141843971631206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14_Unk"	NA	NA	NA	NA	NA	NA	0.0031201248049922	NA	NA	NA	NA	0.00078125	NA	0.943262411347518	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00151285930408472	NA	NA
"15_CLP.2"	NA	NA	NA	NA	NA	0.0201612903225806	NA	NA	NA	NA	NA	NA	NA	NA	0.981981981981982	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16_Pre.B"	NA	NA	NA	NA	NA	NA	0.0015600624024961	NA	NA	NA	NA	NA	NA	NA	NA	0.955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17_B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	0.990234375	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18_Plasma"	NA	NA	NA	NA	NA	NA	0.0015600624024961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.944444444444444	NA	NA	NA	NA	NA	NA	NA	NA
"19_CD8.N"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.921225382932166	0.00420757363253857	0.00137741046831956	NA	NA	0.0166414523449319	NA	NA
"20_CD4.N1"	NA	NA	0.00806451612903226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001953125	NA	0.0284463894967177	0.904628330995792	0.0179063360881543	0.0393053016453382	NA	0.00907715582450832	NA	NA
"21_CD4.N2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0240700218818381	0.0603085553997195	0.96969696969697	0.0447897623400366	NA	0.0075642965204236	NA	NA
"22_CD4.M"	NA	NA	NA	NA	NA	NA	0.0015600624024961	NA	NA	NA	NA	NA	NA	0.00709219858156028	NA	NA	NA	NA	0.0109409190371991	0.0308555399719495	0.0110192837465565	0.883912248628885	NA	0.0665658093797277	0.00154320987654321	0.0196078431372549
"23_CD8.EM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0228519195612431	0.99250936329588	0.0211800302571861	0.00462962962962963	NA
"24_CD8.CM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0153172866520788	NA	NA	0.00822669104204753	0.00749063670411985	0.850226928895613	0.00771604938271605	0.0196078431372549
"25_NK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0257186081694402	0.984567901234568	0.0392156862745098
"26_Unk"	NA	NA	NA	NA	NA	NA	0.0015600624024961	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001953125	0.0555555555555556	NA	NA	NA	NA	NA	0.00151285930408472	NA	0.92156862745098
