"Digestive system"	"Embryo/Stem cells"	"Endocrine system"	"Fetal"	"Immune system"	"Muscular system"	"Neonatal"	"Nervous system"	"Others"	"Reproductive system"	"Respiratory system"	"Skin"	"Urinal system"
"Digestive system"	0.954993983152828	0	0	0.000817661488143908	3.06748466257669e-05	0.0010515247108307	0	0.000524109014675052	0.00127551020408163	0	0.000495049504950495	0	0
"Embryo/Stem cells"	0	0.998859749144812	0	0	0	0	0	0	0	0	0	0	0
"Endocrine system"	0.00144404332129964	0	0.940886699507389	0	0.00202453987730061	0.00630914826498423	0.000806126561870214	0.000786163522012579	0	0.00370644922164566	0.00544554455445545	0.000292056074766355	0.000666977923030748
"Fetal"	0.000240673886883273	0	0	0.970973017170891	0.000766871165644172	0	0.0108827085852479	0	0	0.000741289844329133	0	0	0
"Immune system"	0.000962695547533093	0	0.000289771080846132	0.00102207686017989	0.963098159509202	0.00262881177707676	0	0.000524109014675052	0.00446428571428571	0.000741289844329133	0.00891089108910891	0	0.000266791169212299
"Muscular system"	0.000481347773766546	0	0.0130396986380759	0.000408830744071954	0.000521472392638037	0.913249211356467	0	0.00209643605870021	0.0248724489795918	0	0.0153465346534653	0	0.00186753818448609
"Neonatal"	0	0	0	0.00102207686017989	3.06748466257669e-05	0	0.938734381297864	0.000262054507337526	0	0	0	0	0
"Nervous system"	0.000481347773766546	0	0.000869313242538395	0	6.13496932515337e-05	0	0.000403063280935107	0.975366876310273	0.000637755102040816	0	0.000495049504950495	0	0
"Others"	0.00288808664259928	0	0.0144885540423066	0.000408830744071954	0.00180981595092025	0.0228706624605678	0	0.00131027253668763	0.913265306122449	0	0.0207920792079208	0.00058411214953271	0.000666977923030748
"Reproductive system"	0.000481347773766546	0	0	0	0	0.000262881177707676	0	0	0	0.974796145292809	0	0	6.66977923030748e-05
"Respiratory system"	0.002647412755716	0	0.00347725297015358	0.000817661488143908	0.00122699386503067	0.0134069400630915	0	0.0010482180293501	0.0197704081632653	0	0.91039603960396	0	0.000600280130727673
"Skin"	0.000240673886883273	0	0.000869313242538395	0	0	0.00131440588853838	0	0.000524109014675052	0.00127551020408163	0	0	0.995911214953271	0
"Unassigned"	0.0351383874849579	0.00114025085518814	0.0260793972761518	0.0245298446443173	0.0303680981595092	0.0389064143007361	0.049173720274083	0.0175576519916143	0.0344387755102041	0.0200148257968866	0.0381188118811881	0.00321261682242991	0.0156072833989195
"Urinal system"	0	0	0	0	6.13496932515337e-05	0	0	0	0	0	0	0	0.98025745347829
