"Digestive.system"	"Embryo.Stem.cells"	"Endocrine.system"	"Fetal"	"Immune.system"	"Muscular.system"	"Neonatal"	"Nervous.system"	"Others"	"Reproductive.system"	"Respiratory.system"	"Skin"	"Urinal.system"
"Digestive.system"	0.938628158844765	0.000570125427594071	0.00405679513184584	0.00122649223221586	0.000276073619631902	0.0168243953732913	0.000806126561870214	0.00628930817610063	0.0038265306122449	0.00148257968865827	0.0178217821782178	0.000292056074766355	0.00120056026145535
"Embryo.Stem.cells"	NA	0.973774230330673	NA	0.00143090760425184	3.06748466257669e-05	0.00236593059936909	0.000403063280935107	NA	NA	NA	NA	NA	0.00013339558460615
"Endocrine.system"	0.0166064981949458	NA	0.896261953057085	0.00408830744071954	0.00285276073619632	0.0691377497371188	0.00120918984280532	0.0010482180293501	0.0280612244897959	0.0252038547071905	0.0351485148514852	0.000876168224299065	0.00360168078436604
"Fetal"	0.00529482551143201	0.0256556442417332	0.00173862648507679	0.953597710547833	0.00374233128834356	0.00341745531019979	0.0661023780733575	0.0010482180293501	0.000637755102040816	0.0326167531504818	0.00643564356435644	NA	6.66977923030748e-05
"Immune.system"	0.0163658243080626	NA	0.037380469429151	0.0188062142273099	0.989601226993865	0.0399579390115668	0.0161225312374043	0.00393081761006289	0.0975765306122449	0.00296515937731653	0.118811881188119	NA	0.00166744480757687
"Muscular.system"	0.00505415162454874	NA	0.0292668791654593	0.000613246116107931	0.000705521472392638	0.798895899053628	0.000403063280935107	0.00550314465408805	0.10905612244898	NA	0.0603960396039604	0.000292056074766355	0.00246781831521377
"Neonatal"	0.00409145607701564	NA	0.00376702405099971	0.0139002452984464	0.000122699386503067	0.00157728706624606	0.910116888351471	0.000786163522012579	NA	0.0237212750185322	0.00346534653465347	NA	0.000933769092243047
"Nervous.system"	0.00192539109506619	NA	0.00144885540423066	NA	0.000122699386503067	0.00736067297581493	0.00201531640467553	0.974842767295597	0.0121173469387755	NA	0.000495049504950495	NA	0.000666977923030748
"Others"	0.00168471720818291	NA	0.0170964937699218	NA	0.000889570552147239	0.0297055730809674	NA	0.00183438155136268	0.691964285714286	NA	0.050990099009901	0.000292056074766355	0.000733675715333822
"Reproductive.system"	0.00144404332129964	NA	0.00318748188930745	0.00388389206868356	NA	0.0010515247108307	0.00201531640467553	NA	NA	0.9058561897702	0.00346534653465347	NA	0.000733675715333822
"Respiratory.system"	0.002647412755716	NA	0.00260793972761518	0.000204415372035977	0.00098159509202454	0.0160357518401682	0.000806126561870214	0.0010482180293501	0.0395408163265306	0.00370644922164566	0.681683168316832	0.000292056074766355	0.000666977923030748
"Skin"	0.000240673886883273	NA	0.000869313242538395	NA	6.13496932515337e-05	0.00157728706624606	NA	0.000524109014675052	0.00191326530612245	NA	NA	0.997955607476635	NA
"Urinal.system"	0.00601684717208183	NA	0.00231816864676905	0.00224856909239575	0.000613496932515337	0.0120925341745531	NA	0.00314465408805031	0.0153061224489796	0.0044477390659748	0.0212871287128713	NA	0.987127326085507
